# zspec for Bullet cluster from NED 
# center RA=104.65139, DEC=-55.95468, z=0.296715
# ID      X      Y   rest-frame Vel
#           [kpc]      [km/s] 
# 
  1    4583.    193.  -1391.
  2    4559.  -1101.  -1506.
  3    4525.   -650.  -1067.
  4    4409.   -491.  -1391.
  5    4314.     37.  -1437.
  6    4187.     50.  -1437.
  7    3902.   -858.  -1668.
  8    3857.   -250.  -1414.
  9    3700.   -506.  -1067.
 10    2824.   1498.   -281.
 11    2697.   2000.    228.
 12    2495.  -1869.   -558.
 13    2379.  -1047.   -928.
 14    2315.   -479.   -813.
 15    2227.   1325.    459.
 16    2214.  -1471.    806.
 17    2152.  -1655.  -1021.
 18    2088.  -1798.   -905.
 19    2069.    602.   -928.
 20    1938.   -578.   1407.
 21    1937.    343.    945.
 22    1924.   2459.  -1252.
 23    1903.    701.   -813.
 24    1826.    167.    182.
 25    1780.   -389.   1777.
 26    1740.   1141.   -420.
 27    1520.   1193.    182.
 28    1505.    767.  -1124.
 29    1504.    363.   -592.
 30    1478.    134.   1268.
 31    1475.    373.   -604.
 32    1468.    709.   -402.
 33    1429.    950.   -373.
 34    1349.    969.  -2037.
 35    1256.  -1285.   -211.
 36    1249.   -564.    -50.
 37    1227.   1190.   -188.
 38    1164.   1588.   -697.
 39    1076.    462.   -558.
 40    1072.   1580.    875.
 41    1040.    978.   2324.
 42     994.    715.   1291.
 43     921.   1986.    852.
 44     914.   1229.   1083.
 45     908.    741.    800.
 46     899.     50.   -882.
 47     833.    177.    332.
 48     769.    339.    205.
 49     758.    177.    169.
 50     736.   -499.    783.
 51     707.   1025.   1060.
 52     705.    278.    713.
 53     703.    617.   -766.
 54     684.    181.    389.
 55     646.    377.   -854.
 56     609.    612.   -204.
 57     605.    204.    433.
 58     572.    665.   1374.
 59     552.     25.  -1229.
 60     528.    166.   2077.
 61     517.   1308.    829.
 62     503.   1765.     20.
 63     497.    630.  -2731.
 64     481.  -1005.    390.
 65     468.   -931.  -1113.
 66     468.    831.   -304.
 67     468.    988.    205.
 68     466.  -1188.   1869.
 69     465.  -2034.    -50.
 70     455.    202.   1068.
 71     431.   -695.    752.
 72     418.    113.   -653.
 73     400.  -1586.   1153.
 74     378.   -762.    783.
 75     344.   -994.   2494.
 76     338.  -1210.   -743.
 77     331.   1574.    135.
 78     326.   1167.   -119.
 79     317.    408.  -2639.
 80     310.    -74.  -1113.
 81     288.  -1385.    783.
 82     288.    136.  -1067.
 83     279.   1397.  -1969.
 84     274.    354.  -2214.
 85     251.  -1122.   -951.
 86     250.    319.  -2008.
 87     236.   -156.   -173.
 88     230.   -896.   -766.
 89     224.  -1353.   1176.
 90     219.  -2315.   1707.
 91     209.   1039.     89.
 92     208.    269.    135.
 93     199.    705.   -202.
 94     199.   -187.  -1322.
 95     199.    110.  -2591.
 96     183.    484.   -674.
 97     162.    394.    881.
 98     161.   -737.    116.
 99     162.    177.  -1602.
100     150.  -2062.    -96.
101     127.     43.   1060.
102     124.    186.  -1182.
103     106.    -68.    274.
104      82.    260.    961.
